Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
House for sale,739000.0,3,2,1196.0,40.5367142,-74.164846,1,0,8,0,93,3,0,0,217,8,0,1,0,9,Staten Island,10312,4000.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Co-op for sale,1400000.0,2,2,945.0,40.7661258,-73.9779145,15,3,111,33,2823,171,12,21,1549,118,1,34,25,193,Manhattan,10019,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Co-op for sale,1400000.0,2,2,945.0,40.7661258,-73.9779145,15,3,111,33,2825,171,12,21,1554,118,1,34,25,194,Manhattan,10019,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Co-op for sale,1250000.0,1,1.5,970.0,40.7749836,-73.9774438,15,3,102,20,2343,184,11,14,1477,111,1,30,22,178,Manhattan,10023,970.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Co-op for sale,1250000.0,1,1.5,970.0,40.7749836,-73.9774438,15,3,102,20,2345,184,11,14,1479,111,1,30,22,179,Manhattan,10023,970.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Condo for sale,409888.0,3,2,950.0,40.6672403,-73.8500973,20,1,42,6,175,33,0,0,961,48,0,0,3,33,Queens,11414,13780.0,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,106.0,62.766447838413015
Co-op for sale,659000.0,2,1,1200.0,40.7545099,-73.82713,13,2,15,2,563,30,1,0,1192,22,1,1,4,93,Queens,11355,1200.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,1–2 miles,0–1 miles,109.0,35.425132161737395
Co-op for sale,189900.0,1,1,650.0,40.6649999,-73.84857,18,1,40,5,147,30,0,0,909,44,0,0,3,27,Queens,11414,650.0,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,106.0,62.766447838413015
Co-op for sale,189900.0,1,1,650.0,40.6649999,-73.84857,18,1,40,5,147,29,0,0,909,44,0,0,3,27,Queens,11414,650.0,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,106.0,62.766447838413015
Co-op for sale,55000.0,Studio,1,800.0,40.8420969,-73.7843991,9,0,4,0,27,12,0,0,160,4,1,2,2,6,Bronx,10464,13780.0,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,1–2 miles,2–3 miles,2–3 miles,0–1 miles,45.0,62.766447838413015
