Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
Multi-family home for sale,699000.0,3,3,2100.0,40.8918101,-73.8478472,28,0,25,0,78,84,1,0,518,34,0,1,4,29,Bronx,10466,4500.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,2–3 miles,0–1 miles,47.0,35.425132161737395
Multi-family home for sale,6668000.0,8,6,6200.0,40.6723462,-73.9725459,21,0,93,17,1106,183,3,0,1560,95,0,15,8,153,Brooklyn,11215,6200.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,78.0,75.10102633709577
Multi-family home for sale,6668000.0,8,6,6200.0,40.6723462,-73.9725459,21,0,93,17,1105,183,3,0,1560,95,0,15,8,153,Brooklyn,11215,6200.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,78.0,75.10102633709577
Pending,600000.0,3,1.5,1549.5,40.6704359,-73.8786945,24,1,59,6,343,76,0,0,1385,62,0,0,4,61,Brooklyn,11208,1620.0,0–1 miles,1–2 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,75.0,0.0
Multi-family home for sale,1183000.0,6,5,3290.0,40.5159449,-74.2360972,6,0,6,0,63,13,0,0,166,7,0,1,0,6,Staten Island,10307,6400.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
House for sale,1599000.0,6,4,2780.0,40.6823908,-73.8920989,32,1,66,17,507,92,2,0,1634,68,0,1,4,75,Brooklyn,11207,3754.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,75.0,0.0
House for sale,699999.0,4,2,1903.0,40.8887566,-73.8510594,28,0,28,1,112,92,1,0,585,37,0,1,4,38,Bronx,10466,2164.0,0–1 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,2–3 miles,0–1 miles,47.0,35.425132161737395
House for sale,974900.0,3,2,1316.0,40.5479627,-74.1766985,1,0,8,0,102,8,0,0,240,8,0,1,0,10,Staten Island,10312,11325.6,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Pending,869000.0,3,1,1200.0,40.7856899,-73.976047,12,2,79,11,1911,176,10,10,1337,86,0,22,22,150,Manhattan,10024,2567.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Pending,869000.0,3,1,1200.0,40.7856899,-73.976047,12,2,79,11,1912,176,10,10,1337,86,0,22,22,151,Manhattan,10024,2567.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Pending,550000.0,Studio,1,2680.0,40.8210906,-73.8505287,27,0,26,3,107,96,0,0,699,26,2,0,5,30,Bronx,10473,4117.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,1–2 miles,0–1 miles,43.0,21.901610944420632
Condo for sale,250000.0,Studio,1,600.0,40.6748713,-73.9758428,20,0,102,17,1311,192,4,0,1519,104,0,19,10,159,Brooklyn,11215,5940.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,78.0,75.10102633709577
Condo for sale,2495000.0,4,3,2500.0,40.7684839,-73.9500551,13,2,103,25,2432,171,10,10,1571,109,1,24,22,204,Manhattan,10021,2500.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Multi-family home for sale,738000.0,5,2.5,2288.0,40.6332992,-74.0998391,1,0,4,1,124,22,1,1,544,7,0,8,0,17,Staten Island,10301,3000.0,2–3 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,120.0,55.3387983997714
Multi-family home for sale,1624999.0,5,4,2722.0,40.6714142,-73.9329285,35,0,103,21,869,185,2,0,1908,106,0,6,4,127,Brooklyn,11213,2100.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,77.0,62.766447838413015
Condo for sale,399000.0,2,1,884.0,40.6576556,-73.8770665,23,1,46,4,131,54,0,0,1100,49,0,0,3,28,Brooklyn,11208,884.0,0–1 miles,1–2 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,75.0,0.0
Townhouse for sale,1750000.0,5,3,3078.0,40.6178989,-74.002174,2,0,54,0,438,79,1,0,1130,54,0,1,2,84,Brooklyn,11228,2633.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,68.0,69.5065204120069
Condo for sale,575000.0,2,2,1100.0,40.6034961,-73.9518075,4,0,43,1,285,77,1,0,1123,43,1,2,3,65,Brooklyn,11229,1260.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,61.0,62.766447838413015
House for sale,525000.0,3,2,1800.0,40.652719,-73.82885,10,1,15,4,100,14,0,0,639,23,0,0,2,17,Queens,11414,1600.0,1–2 miles,1–2 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,2–3 miles,1–2 miles,106.0,62.766447838413015
House for sale,539900.0,3,1,1519.0,40.6308937,-74.1400415,5,0,0,2,103,29,0,1,448,2,0,8,0,11,Staten Island,10302,5000.0,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,2–3 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,121.0,62.766447838413015
House for sale,985000.0,4,3.5,2686.0,40.5428618,-74.2194513,5,0,8,0,88,15,0,0,186,8,0,1,0,9,Staten Island,10309,3491.0,1–2 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,123.0,85.32013501928847
House for sale,1385000.0,3,2.5,1549.5,40.7263118,-73.8688201,11,2,40,11,901,66,1,0,1412,45,0,2,2,135,Queens,11374,1951.0,2–3 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
Condo for sale,5695000.0,3,3.5,2347.0,40.710456,-73.991235,26,2,141,40,2888,185,12,20,1372,153,1,43,16,200,Manhattan,10002,2347.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,7.0,69.5065204120069
Condo for sale,5500000.0,2,2,3170.0,40.7573938,-73.9806151,17,3,119,35,3240,179,13,21,1562,128,1,41,25,207,Manhattan,10036,3170.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Townhouse for sale,5795000.0,6,4.5,3780.0,40.7290349,-74.003307,19,3,128,38,3090,167,14,21,1441,144,1,43,21,182,Manhattan,10014,3780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
Pending,239000.0,2,2,1200.0,40.7614835,-73.97081,15,3,119,40,3103,174,12,21,1586,126,1,34,25,211,Manhattan,10019,1200.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
Co-op for sale,199000.0,2,1,850.0,40.8867377,-73.9062871,34,1,37,2,151,103,0,0,562,49,0,2,5,45,Bronx,10463,850.0,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,50.0,69.5065204120069
Co-op for sale,199000.0,2,1,850.0,40.8867377,-73.9062871,34,1,37,2,152,103,0,0,562,49,0,2,5,45,Bronx,10463,850.0,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,50.0,69.5065204120069
Co-op for sale,1399999.0,4,4,2200.0,40.757912,-73.960573,16,3,120,44,3187,179,12,21,1619,126,1,35,24,221,Manhattan,10022,2200.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,1399999.0,4,4,2200.0,40.757912,-73.960573,16,3,120,44,3188,179,12,21,1624,126,1,35,24,222,Manhattan,10022,2200.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
House for sale,4995000.0,3,2,3200.0,40.7354766,-74.009772,18,3,115,36,2944,155,12,22,1423,131,1,42,26,173,Manhattan,10014,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
House for sale,4995000.0,3,2,3200.0,40.7354766,-74.009772,18,3,115,36,2945,155,12,22,1428,131,1,42,26,173,Manhattan,10014,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
Townhouse for sale,6668000.0,7,5.5,6425.0,40.7716358,-73.9604313,12,3,107,27,2487,184,11,14,1554,113,1,27,22,203,Manhattan,10021,2040.0,1–2 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Townhouse for sale,6668000.0,7,5.5,6425.0,40.7716358,-73.9604313,12,3,107,27,2488,184,11,14,1554,113,1,27,22,204,Manhattan,10021,2040.0,1–2 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
House for sale,748000.0,3,1.5,2392.0,40.6149389,-74.1064125,1,0,7,1,188,17,1,1,613,8,0,8,1,21,Staten Island,10301,4040.0,2–3 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,120.0,55.3387983997714
House for sale,748000.0,3,1.5,2392.0,40.6149389,-74.1064125,1,0,7,1,192,17,1,1,613,8,0,8,1,23,Staten Island,10301,4040.0,2–3 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,120.0,55.3387983997714
Pending,295000.0,1,1,484.0,40.584895,-74.1009153,2,0,6,0,94,15,0,1,385,6,0,2,1,17,Staten Island,10305,484.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,122.0,69.5065204120069
Pending,295000.0,1,1,484.0,40.584895,-74.1009153,2,0,6,0,94,15,0,1,385,6,0,2,1,18,Staten Island,10305,484.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,122.0,69.5065204120069
House for sale,868888.0,4,2.5+,2429.0,40.5930329,-74.1617114,5,0,5,1,125,13,0,0,320,5,0,1,1,14,Staten Island,10314,2575.0,0–1 miles,4+ miles,2–3 miles,2–3 miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,4+ miles,2–3 miles,2–3 miles,0–1 miles,122.0,69.5065204120069
Co-op for sale,525000.0,Studio,1,550.0,40.7370971,-74.0068584,20,3,119,37,3007,156,14,22,1467,134,1,42,27,178,Manhattan,10014,550.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
Co-op for sale,525000.0,Studio,1,550.0,40.7370971,-74.0068584,20,3,119,37,3008,156,14,22,1472,134,1,42,27,179,Manhattan,10014,550.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
Condo for sale,6668000.0,6,6.5,6425.0,40.730539,-74.008601,17,3,121,37,2977,157,13,21,1400,136,1,42,21,172,Manhattan,10014,7475.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
Condo for sale,6668000.0,6,6.5,6425.0,40.730539,-74.008601,17,3,121,37,2978,157,13,21,1405,136,1,42,21,172,Manhattan,10014,7475.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,6.0,62.766447838413015
House for sale,690000.0,3,1.5,1536.0,40.6271039,-73.933308,12,0,45,2,207,109,1,0,1337,45,1,3,3,60,Brooklyn,11234,2000.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,63.0,69.5065204120069
House for sale,662500.0,3,1.5+,1368.0,40.5547806,-74.1793752,3,0,8,0,102,12,0,0,246,8,0,1,0,10,Staten Island,10312,2659.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Condo for sale,6668000.0,5,4.5,4928.0,40.7022,-73.990838,24,1,133,38,2575,187,11,15,1347,142,1,37,15,196,Brooklyn,11201,4928.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Condo for sale,6668000.0,5,4.5,4928.0,40.7022,-73.990838,24,1,133,38,2574,187,11,15,1352,142,1,37,15,196,Brooklyn,11201,4928.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Co-op for sale,525000.0,1,1.5,1211.0,40.7295021,-73.8229583,18,2,26,6,604,38,1,0,1512,35,0,1,2,117,Queens,10044,13780.0,0–1 miles,1–2 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,114.0,35.425132161737395
Co-op for sale,525000.0,1,1.5,1211.0,40.7295021,-73.8229583,18,2,26,6,608,37,1,0,1512,35,0,1,2,119,Queens,10044,13780.0,0–1 miles,1–2 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,114.0,35.425132161737395
Townhouse for sale,6668000.0,6,5.5+,3020.0,40.7739266,-73.9631731,12,3,106,27,2413,189,11,13,1525,112,1,27,23,195,Manhattan,10021,4086.0,1–2 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,350000.0,Studio,1,200.0,40.7281502,-73.9814346,25,3,156,42,3224,193,16,22,1562,167,1,46,25,217,Manhattan,10009,13780.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,9.0,62.766447838413015
Multi-family home for sale,1350000.0,4,3.5,2439.0,40.6169202,-73.9063472,13,0,12,2,69,48,1,0,837,12,1,1,2,21,Brooklyn,11234,2667.0,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,1–2 miles,3–4 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,63.0,69.5065204120069
Pending,900000.0,4,2,2435.0,40.590517,-74.0792528,1,0,7,0,113,13,0,1,393,7,0,1,1,17,Staten Island,10305,6000.0,2–3 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,2–3 miles,0–1 miles,1–2 miles,4+ miles,2–3 miles,2–3 miles,0–1 miles,122.0,69.5065204120069
Multi-family home for sale,999000.0,15,3.5,3100.0,40.5789775,-73.9612864,1,0,26,0,210,44,1,0,699,26,0,0,1,39,Brooklyn,11235,2500.0,3–4 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,61.0,62.766447838413015
Condo for sale,750000.0,2,2,741.0,40.7224935,-73.9783891,28,2,157,45,3266,186,14,20,1581,168,1,45,20,208,Manhattan,10009,2214.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,9.0,62.766447838413015
House for sale,729000.0,4,2,2457.0,40.695096,-73.8636723,19,1,62,11,598,71,1,0,1524,69,0,0,3,86,Queens,11421,13780.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,102.0,62.766447838413015
Condo for sale,1850000.0,3,2,1956.0,40.7167496,-73.9550638,24,1,155,46,3069,204,14,16,1875,161,1,37,16,240,Brooklyn,11211,1956.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,90.0,62.766447838413015
Condo for sale,425000.0,2,1,897.0,40.6008197,-74.1324861,4,0,5,1,163,18,0,1,525,5,0,4,1,24,Staten Island,10314,897.0,1–2 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,122.0,69.5065204120069
House for sale,679999.0,2,2,780.0,40.5982333,-73.9736663,3,0,42,1,295,69,1,0,1107,42,0,1,3,69,Brooklyn,11223,1360.0,2–3 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,61.0,62.766447838413015
Co-op for sale,268000.0,1,1,700.0,40.6194283,-74.0399299,2,0,27,0,369,30,1,1,833,27,0,1,1,56,Brooklyn,11209,700.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,2–3 miles,0–1 miles,68.0,69.5065204120069
House for sale,699000.0,4,2,1200.0,40.8756028,-73.8443316,30,0,35,1,127,88,1,0,699,43,1,1,5,44,Bronx,10469,1520.0,0–1 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,49.0,55.3387983997714
Multi-family home for sale,899999.0,4,2,1672.0,40.602997,-73.956422,4,0,45,1,291,74,1,0,1161,45,1,1,3,67,Brooklyn,11229,1725.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,61.0,62.766447838413015
House for sale,1630000.0,5,2,4300.0,40.7865892,-73.8465226,10,2,6,2,272,42,0,0,708,10,1,0,3,48,Queens,11356,6164.0,1–2 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,1–2 miles,4+ miles,1–2 miles,0–1 miles,109.0,35.425132161737395
Co-op for sale,2120000.0,2,2.5,1100.0,40.7797617,-73.9613535,18,2,101,21,2210,196,10,10,1466,107,0,24,22,185,Manhattan,10028,10890.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Condo for sale,490000.0,2,1,721.0,40.727429,-73.8611371,12,2,36,9,822,54,1,0,1457,41,0,1,3,126,Queens,11374,721.0,1–2 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
Co-op for sale,525000.0,1,1,722.0,40.7980925,-73.9627629,20,1,72,7,1424,212,7,4,1202,75,0,20,22,135,Manhattan,10025,3030.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,24.0,69.5065204120069
Pending,124900.0,Studio,1,288.0,40.5453296,-74.1579446,2,0,8,0,118,5,0,0,254,8,0,1,1,10,Staten Island,10308,13780.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,3–4 miles,2–3 miles,0–1 miles,123.0,85.32013501928847
Co-op for sale,179900.0,2,1,950.0,40.7154518,-73.7919103,20,0,16,7,397,37,1,0,1525,23,0,1,3,88,Queens,11432,950.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,103.0,45.17588226889556
Condo for sale,2000000.0,3,2.5,1401.0,40.7673279,-73.9617828,16,3,114,32,2746,183,13,16,1608,120,1,30,23,206,Manhattan,10021,1401.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,279000.0,2,1,1100.0,40.8099353,-73.9377818,31,0,73,4,920,217,4,1,1185,76,0,18,9,121,Manhattan,10037,1260.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,32.0,62.766447838413015
Pending,599900.0,3,1.5,1280.0,40.5673688,-74.1232734,2,0,7,0,130,12,0,0,333,7,0,0,1,17,Staten Island,10306,2499.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,122.0,69.5065204120069
House for sale,489000.0,2,1.5,1354.0,40.5626236,-74.1835031,4,0,7,0,107,15,0,0,256,7,0,1,0,10,Staten Island,10312,500.0,2–3 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
