Address line 1,Address line 2,Full Address,Latitude,Longitude,Number_of_Parks_Nearby,Distance_to_Nearest_Parks_miles,Number_of_Malls_Nearby,Distance_to_Nearest_Malls_miles,Number_of_Metros_Nearby,Distance_to_Nearest_Metros_miles,Number_of_Clubs_Nearby,Distance_to_Nearest_Clubs_miles,Number_of_Restaurants_Nearby,Distance_to_Nearest_Restaurants_miles,Number_of_Schools_Nearby,Distance_to_Nearest_Schools_miles,Number_of_Colleges_Nearby,Distance_to_Nearest_Colleges_miles,Number_of_Universities_Nearby,Distance_to_Nearest_Universities_miles,Number_of_Buses_Nearby,Distance_to_Nearest_Buses_miles,Number_of_Trains_Nearby,Distance_to_Nearest_Trains_miles,Number_of_Airports_Nearby,Distance_to_Nearest_Airports_miles,Number_of_Museums_Nearby,Distance_to_Nearest_Museums_miles,Number_of_Libraries_Nearby,Distance_to_Nearest_Libraries_miles,Number_of_Grocery_stores_Nearby,Distance_to_Nearest_Grocery_stores_miles,borough
563 Park Ave # 5 & 6W,"New York, NY 10065","563 Park Ave # 5 & 6W New York, NY 10065 ",40.7647849,-73.9679849,15,0.9109748130517829,3,0.8178297193281142,115,0.098796003754151,40,0.2201020329019315,2954,0.0685382947303649,177,0.0633096194448186,12,0.2615462908492066,21,0.6858629544242724,1583,0.079948063757342,122,0.098796003754151,1,2.0608620697901427,31,0.0607934888405737,23,0.2019801677896075,207,0.1712386693265315,Not Found
34-42 87th St,"Jackson Heights, NY 11372","34-42 87th St Jackson Heights, NY 11372 ",40.7529635,-73.8804156,4,1.5648629570149724,2,2.397635117230322,34,0.3684056350833465,14,0.4878591432167239,964,0.1998366217494488,36,0.3245440692845941,0,inf,0,inf,1254,0.0562921353076996,38,0.3684056350833465,1,2.2207087731105632,1,2.298191839503203,4,2.7737301697315737,135,0.203164621594409,Not Found
160-19 88th St,"Howard Beach, NY 11414","160-19 88th St Howard Beach, NY 11414 ",40.6567401,-73.8437901,14,1.4655875931163158,1,1.2170967369703962,30,0.7545385295128428,4,2.351776775128775,125,0.2808954973153008,24,0.5355608335500789,0,inf,0,inf,778,0.2547748037505181,35,0.7545385295128428,0,inf,0,inf,2,2.222962435926939,24,0.7855236485827594,Not Found
11125 147th St,"Jamaica, NY 11435","11125 147th St Jamaica, NY 11435 ",40.6872252,-73.7969082,15,0.7090227501986074,0,inf,22,1.056122044583292,8,0.9221291922905964,281,0.109107198534731,39,0.5869262808206444,1,2.6243308964153043,0,inf,1324,0.1049953683610762,37,1.012705031077035,0,inf,0,inf,2,0.3999545974467239,66,0.1080359915052986,Not Found
6121 160th St,"Fresh Meadows, NY 11365","6121 160th St Fresh Meadows, NY 11365 ",40.7378992,-73.8082822,17,0.2984971098090227,2,1.7338902877725202,18,1.8812668586483223,3,2.071741217702668,537,0.3277115594392505,33,0.6202954666499164,1,1.9959129066031127,0,inf,1377,0.0202102684781286,29,1.678296320527183,0,inf,1,0.4641237373382899,3,0.3839326127696746,101,0.0868854642913916,Not Found
7564 184th St,"Fresh Meadows, NY 11366","7564 184th St Fresh Meadows, NY 11366 ",40.7285703,-73.7853152,18,1.1081649517138383,1,3.042971763901836,11,1.1016255526147354,1,2.3692376136604576,366,0.0816113636393273,35,0.6644048489920951,1,2.590914293694139,0,inf,1368,0.0574216146275824,21,1.1016255526147354,0,inf,1,1.742894211514735,2,1.3210381016285768,82,0.1256665555686387,Not Found
69-23 Alderton St,"Rego Park, NY 11374","69-23 Alderton St Rego Park, NY 11374 ",40.7130597,-73.8580673,14,1.422072949050249,1,2.874463793930678,52,0.927646944633164,11,0.7199143901559507,742,0.1876388936112036,73,0.3138842359480154,1,1.4131775224321166,0,inf,1518,0.0912574327459813,57,0.8273320967625347,0,inf,1,2.694404242401418,3,1.1789528767351816,120,0.1317150848331941,Not Found
120 E 80th St Unit Parlor,"New York, NY 10075","120 E 80th St Unit Parlor New York, NY 10075 ",40.7758127,-73.9592568,18,1.085658365013444,2,1.3381443669747728,100,0.1521861522720281,23,1.096184125780869,2333,0.0384079720916633,183,0.1107200121220697,10,0.6495336227672347,11,0.7965072842235503,1515,0.0435642271098006,106,0.1521861522720281,1,2.8955064705871587,25,0.2705709010002649,22,0.5779917480843826,193,0.1794292345383828,Not Found
27110 Grand Central Pkwy Apt 30V,"Floral Park, NY 11005","27110 Grand Central Pkwy Apt 30V Floral Park, NY 11005 ",40.7250575,-73.7586039,16,1.233992231849906,0,inf,6,1.576595954810239,2,2.709113686491743,258,0.2579004815576456,22,0.8773700768190704,0,inf,0,inf,1180,0.1654673388610043,17,1.1110095346631792,0,inf,0,inf,2,2.314540319026608,64,0.2793204466174336,Not Found
158-24 81st St,"Howard Beach, NY 11414","158-24 81st St Howard Beach, NY 11414 ",40.6584792,-73.8516652,20,1.163779514257662,1,0.9301459211213065,39,1.1320633838188523,4,2.4748923936409417,120,0.5552370284619179,25,0.8990542606731682,0,inf,0,inf,850,0.3527727288603396,43,1.1320633838188523,0,inf,0,inf,2,1.8323095429019616,26,0.5676961534047215,Not Found
