Property Link,Type of House,Property Value,bed,bath,"
bed",Area (Sqft),Address line 1,Address line 2,Full Address,PropertyLotSizeMetastyles__StyledPropertyLotSizeMeta-rui__sc-1cz4zco-0,lot size,appreciate/depreciate
https://www.realtor.com/realestateandhomes-detail/330-E-38th-St-Apt-48K_New-York_NY_10016_M45900-31079?from=srp-list-card,Condo for sale,"$1,595,000",2,2,2,"1,134",330 E 38th St Apt 48K,"New York, NY 10016","330 E 38th St Apt 48K New York, NY 10016",,,
https://www.realtor.com/realestateandhomes-detail/108-Leonard-St-Apt-8B_New-York_NY_10013_M32060-19218?from=srp-list-card,Condo for sale,"$3,570,000",2,2.5,2,"1,419",108 Leonard St Apt 8B,"New York, NY 10013","108 Leonard St Apt 8B New York, NY 10013",,,
https://www.realtor.com/realestateandhomes-detail/30-Bushwick-Ave-4D_Brooklyn_NY_11211_M91639-15888?from=srp-list-card,Condo for sale,"$895,000",1,1,1,618,30 Bushwick Ave Unit 4D,"Brooklyn, NY 11211","30 Bushwick Ave Unit 4D Brooklyn, NY 11211",,,
https://www.realtor.com/realestateandhomes-detail/432-Park-Ave_New-York_NY_10022_M92672-14774?from=srp-list-card,Condo for sale,"$90,000,000",6,7.5+,6,"8,255",432 Park Ave Unit Penthouse,"New York, NY 10022","432 Park Ave Unit Penthouse New York, NY 10022",,,$15M
https://www.realtor.com/realestateandhomes-detail/480-Kent-Ave-16H_Brooklyn_NY_11249_M97603-87122?from=srp-list-card,Condo for sale,"$795,000",Studio,1,1,429,480 Kent Ave Unit 16H,"Brooklyn, NY 11249","480 Kent Ave Unit 16H Brooklyn, NY 11249",,,
https://www.realtor.com/realestateandhomes-detail/1117-30th-Dr_Long-Island-City_NY_11102_M39069-53202?from=srp-list-card,Multi-family home for sale,"$1,000,000",7,3,7,"2,440",1117 30th Dr,"Astoria, NY 11102","1117 30th Dr Astoria, NY 11102",sqft lot,"2,614",
https://www.realtor.com/realestateandhomes-detail/111-W-56th-St-Apt-41J_New-York_NY_10019_M91690-43414?from=srp-list-card,Condo for sale,"$1,150,000",Studio,1,1,412,111 W 56th St Apt 41J,"New York, NY 10019","111 W 56th St Apt 41J New York, NY 10019",,,
https://www.realtor.com/realestateandhomes-detail/2211-3rd-Ave-1_New-York_NY_10035_M49947-40925?from=srp-list-card,House for sale,"$95,000,000",Studio,1,1,,2211 3rd Ave Unit 1,"New York, NY 10035","2211 3rd Ave Unit 1 New York, NY 10035",,,
https://www.realtor.com/realestateandhomes-detail/253-Purdy-Ave_Staten-Island_NY_10314_M33982-99500?from=srp-list-card,House for sale,"$899,990",3,3,3,"1,764",253 Purdy Ave,"Staten Island, NY 10314","253 Purdy Ave Staten Island, NY 10314",sqft lot,"4,000",
https://www.realtor.com/realestateandhomes-detail/185-Foster-Rd_Staten-Island_NY_10309_M34283-57522?from=srp-list-card,Contingent,"$889,000",4,2,4,"1,968",185 Foster Rd,"Staten Island, NY 10309","185 Foster Rd Staten Island, NY 10309",sqft lot,"5,432",
https://www.realtor.com/realestateandhomes-detail/274-Morrison-Ave_Staten-Island_NY_10310_M35213-71238?from=srp-list-card,House for sale,"$779,000",4,3,4,"1,360",274 Morrison Ave,"Staten Island, NY 10310","274 Morrison Ave Staten Island, NY 10310",sqft lot,"7,954",
